Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Tia Hellebaut	BEL	2.05	0	3			
2	Blanka Vlašić	CRO	2.05	1	1			
3	Chaunté Howard	USA	1.99	2	4			
=4	Ruth Beitía	ESP	1.96	0	0			
=4	Ariane Friedrich	GER	1.96	0	0			
6	Emma Green	SWE	1.96	2	2			
=7	Marina Aitova	KAZ	1.93	0	0			
=7	Antonietta Di Martino	ITA	1.93	0	0			
=9	Vita Stopina	UKR	1.93	2	2			
=9	Iva Straková	CZE	1.93	2	2			
11	Svetlana Shkolina	RUS	1.93	2	3			
12	Romana Dubnová	CZE	1.89	1	1			
AC	Anna Chicherova	RUS	2.03	0	3	DQ	
AC	Yelena Slesarenko	RUS	2.01	1	4	DQ	
AC	Vita Palamar	UKR	1.99	1	2	DQ	
