Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2850	Anna Chicherova	RUS	1.93 (=2)	2.05 (1)	Gold		
2	3268	Brigetta Barrett	USA	1.93 (=9)	2.03 (2)	Silver		
3	1642	Ruth Beitía	ESP	1.93 (=2)	2.00 (3)			
4	1145	Tia Hellebaut	BEL	1.93 (=2)	1.97 (4)			
5	3305	Chaunté Lowe	USA	1.93 (=2)	1.97 (5)			
6	3337	Svetlana Radzivil	UZB	1.96 (1)	1.97 (6)			
7	3005	Emma Green-Tregaro	SWE	1.93 (=2)	1.93 (7)			
8	1787	Melanie Melfort	FRA	1.93 (=2)	1.93 (8)			
9	2860	Irina Gordeyeva	RUS	1.93 (=9)	1.93 (9)			
10	2437	Airinė Palšytė	LTU	1.93 (=9)	1.89 (10)			
11	3082	Burcu Ayhan	TUR	1.93 (8)	1.89 (11)
AC	2894	Svetlana Shkolina	RUS	1.93 (AC)	2.03 (AC)		DQ
