Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3052	Keshorn Walcott	TTO	81.75 (9)	84.58 (1)	Gold		
2	1727	Antti Ruuskanen	FIN	81.74 (10)	84.12 (2)	Silver		
3	1525	Vítězslav Veselý	CZE	88.34 (1)	83.34 (3)	Bronze		
4	1726	Tero Pitkämäki	FIN	83.01 (3)	82.80 (4)			
5	2599	Andreas Thorkildsen	NOR	84.47 (2)	82.63 (5)			
6	1982	Spyros Lempesis	GRE	82.40 (4)	81.91 (6)			
7	1901	Tino Häber	GER	80.39 (11)	81.21 (7)			
8	2609	Stuart Farquhar	NZL	82.32 (5)	80.22 (8)			
9	2219	Roderick Genki Dean	JPN	82.07 (6)	79.95 (9)			
10	1725	Ari Mannio	FIN	81.99 (7)	78.60 (10)			
11	2322	Julius Yego	KEN	81.81 (8)	77.15 (11)
AC	3143	Oleksandr P'iatnytsia	UKR	82.72 (AC)	84.51 (AC)		DQ
