Pos	Nr	Athlete	NOC	Qualifying	Final			
1	562	Sara Kolak	CRO	64.30 (3)	66.18 (1)	Gold		
2	1173	Sunette Viljoen	RSA	63.54 (6)	64.92 (2)	Silver		
3	598	Barbora Špotáková	CZE	64.65 (2)	64.80 (3)	Bronze		
4	1090	Maria Andrejczyk	POL	67.11 (1)	64.78 (4)			
5	392	Tatyana Kholodovich	BLR	63.78 (5)	64.60 (5)			
6	331	Kathryn Mitchell	AUS	61.63 (12)	64.36 (6)			
7	526	Lu Huihui	CHN	63.28 (7)	64.04 (7)			
8	769	Christina Obergföll	GER	62.18 (10)	62.92 (8)			
9	556	Flor Ruiz	COL	62.32 (9)	61.54 (9)			
10	977	Madara Palameika	LAT	63.03 (8)	60.14 (10)			
11	781	Linda Stahl	GER	63.95 (4)	59.71 (11)			
12	754	Christin Hussong	GER	62.17 (11)	57.70 (12)
AC	1186	Martinka Ratej	SLO	59.76 (AC)	–		DQ
