Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2553	Irving Saladino	PAN	8.01 (8)	8.34 (1)	Gold		
2	2738	Godfrey Khotso Mokoena	RSA	8.14 (4)	8.24 (2)	Silver		
3	1458	Ibrahim Camejo	CUB	8.23 (2)	8.20 (3)	Bronze		
4	3319	Ngoni Makusha	ZIM	8.14 (5)	8.19 (4)			
5	2861	Ndiss Kaba Badji	SEN	8.07 (6)	8.16 (5)			
6	1607	Luis Felipe Méliz	ESP	7.95 (9)	8.07 (6)			
7	1523	Roman Novotný	CZE	7.94 (11)	8.00 (7)			
8	1200	Gable Garenamotse	BOT	7.95 (10)	7.85 (8)			
9	1831	Greg Rutherford	GBR	8.16 (3)	7.84 (9)			
10	2314	Hussain Taher Al-Sabee	KSA	8.04 (7)	7.80 (10)		
