Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2906	Tatyana Lebedeva	RUS	6.95 (1)	7.07 (1)	Gold		
2	2942	Irina Simagina	RUS	6.75 (4)	7.05 (2)	Silver		
3	2898	Tatyana Kotova	RUS	6.79 (3)	7.05 (3)	Bronze		
4	1094	Bronwyn Thompson	AUS	6.80 (2)	6.96 (4)			
5	2108	Anju Bobby George	IND	6.69 (8)	6.83 (5)			
6	1811	Jade Johnson	GBR	6.71 (6)	6.80 (6)			
7	2096	Tünde Vaszi	HUN	6.55 (11)	6.73w (7)			
8	1897	Bianca Kappler	GER	6.69 (7)	6.66 (8)			
9	3355	Grace Upshaw	USA	6.68 (9)	6.64 (9)			
10	3074	Carolina Klüft	SWE	6.73 (5)	6.63 (10)			
11	2314	Yelena Koshcheyeva	KAZ	6.57 (10)	6.53 (11)
AC	3293	Marion Jones	USA	6.70 (AC)	6.85w (AC)		DQ
