Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1215	Maurren Maggi	BRA	6.79 (2)	7.04 (1)	Gold		
2	2522	Blessing Okagbare	NGR	6.59 (11)	6.91 (2)	Bronze		
3	2171	Chelsea Hammond	JAM	6.60 (10)	6.79 (3)			
4	3220	Brittney Reese	USA	6.87 (1)	6.76 (4)			
5	2824	Oksana Udmurtova	RUS	6.63 (5)	6.70 (5)			
6	1849	Jade Johnson	GBR	6.61 (9)	6.64 (6)			
7	3277	Grace Upshaw	USA	6.68 (4)	6.58 (7)			
8	2949	Carolina Klüft	SWE	6.70 (3)	6.49 (8)			
9	1288	Tabia Charles	CAN	6.61 (7)	6.47 (9)			
10	1210	Keila Costa	BRA	6.62 (6)	6.43 (10)			
11	3184	Funmi Jimoh	USA	6.61 (8)	6.29 (11)	
AC r1/2	3064	Liudmyla Blonska	UKR	6.76 (AC)	–		DQ
AC	2762	Tatyana Lebedeva	RUS	6.70 (AC)	7.03 (AC)		DQ
AC	1932	Pigi Devetzi	GRE	6.57 (AC)	–		DQ
