Pos	Nr	Athlete	NOC	Time			
1	2157	Stefano Baldini	ITA	2-10:55	Gold		
2	3295	Meb Keflezighi	USA	2-11:29	Silver		
3	1234	Vanderlei de Lima	BRA	2-12:11	Bronze		
4	1791	Jon Brown	GBR	2-12:26			
5	2263	Shigeru Aburaya	JPN	2-13:11			
6	2291	Toshinari Suwa	JPN	2-13:24			
7	2361	Eric Wainaina	KEN	2-13:30			
8	2722	Alberto Chaíça	POR	2-14:17			
9	2174	Alberico Di Cecco	ITA	2-14:34			
10	2359	Paul Tergat	KEN	2-14:45			
11	2474	Jaouad Gharib	MAR	2-15:12			
12	3247	Alan Culpepper	USA	2-15:26			
13	2941	Leonid Shvetsov	RUS	2-15:28			
14	2383	Lee Bong-Ju	KOR	2-15:33			
15	1679	Ambesse Tolosa	ETH	2-15:39			
16	2842	Gert Thys	RSA	2-16:08			
17	2379	Ji Yeong-Jun	KOR	2-16:14			
18	1612	Toni Peña	ESP	2-16:38			
19	2967	Georgy Andreyev	RUS	2-16:55			
20	2148	Haile Satayin	ISR	2-17:25			
21	2643	Jonathan Wyatt	NZL	2-17:45			
22	1687	Janne Holmén	FIN	2-17:50			
23	1833	Dan Robinson	GBR	2-17:53			
24	2009	Nikos Polias	GRE	2-17:56			
25	1217	Ndabili Bashingili	BOT	2-18:09			
26	1641	Pavel Loskutov	EST	2-18:09			
27	1620	José Ríos	ESP	2-18:40			
28	1095	Lee Troop	AUS	2-18:46			
29	1103	Michael Buchleitner	AUT	2-19:19			
30	3031	Anuradha Cooray	SRI	2-19:24			
31	1360	Li Zhuhong	CHN	2-19:26			
32	1142	Joachim Nshimirimana	BDI	2-19:31			
33	2641	Dale Warrander	NZL	2-19:42			
34	2670	Waldemar Glinka	POL	2-19:43			
35	2758	Jong Myong-Chol	PRK	2-19:47			
36	1751	El Hassan Lahssini	FRA	2-19:50			
37	2662	Michał Bartoszak	POL	2-20:20			
38	2770	Ahmed Jumaa Jaber	QAT	2-20:27			
39	2433	Ali Mabrouk El-Zaidi	LBA	2-20:31			
40	3094	Samson Ramadhani	TAN	2-20:38			
41	2388	Lee Myeong-Seung	KOR	2-21:01			
42	2273	Tomoaki Kunichika	JPN	2-21:13			
43	1412	José Alirio Carrasco	COL	2-21:14			
44	1299	Ernest Ndissipou	CAF	2-21:23			
45	1064	Nick Harrison	AUS	2-21:42			
46	1678	Tereje Wodajo	ETH	2-21:53			
47	1476	Aguelmis Rojas	CUB	2-21:59			
48	3404	Abel Chimukoko	ZIM	2-22:09			
49	1011	Saïd Belhout	ALG	2-22:32			
50	1827	Matt O'Dowd	GBR	2-22:37			
51	1411	Juan Carlos Cardona	COL	2-22:49			
52	2163	Daniele Caimmi	ITA	2-23:07			
53	1031	João N'Tyamba	ANG	2-23:26			
54	3012	Roman Kejžar	SLO	2-23:34			
55	2513	Procopio Franco	MEX	2-23:34			
56	3112	Wu Wen-Chien	TPE	2-23:54			
57	1029	Toni Bernadó	AND	2-23:55			
58	1619	Julio Rey	ESP	2-24:54			
59	2149	Asaf Bimro	ISR	2-25:20			
60	1053	Sisay Bezabeh	AUS	2-25:26			
61	1542	Silvio Guerra	ECU	2-25:29			
62	2978	Mathias Ntawulikura	RWA	2-26:05			
63	1516	Róbert Štefko	CZE	2-27:12			
64	2041	José Amado García	GUA	2-27:13			
65	3235	Dan Browne	USA	2-27:17			
66	1345	Han Gang	CHN	2-27:31			
67	2654	Eduardo Buenavista	PHI	2-28:18			
68	1735	Driss El Himer	FRA	2-29:07			
69	2510	Andrés Espinosa	MEX	2-29:43			
70	2438	Mpesela Ntlot'soeu	LES	2-30:19			
71	1549	Franklin Tenorio	ECU	2-31:12			
72	2522	José Ernani Palalia	MEX	2-31:41			
73	2864	Dmitry Burmakin	RUS	2-31:51			
74	2448	Mindaugas Pukštas	LTU	2-33:02			
75	2538	Bat-Ochiryn Ser-Od	MGL	2-33:24			
76	1390	Zhu Ronghua	CHN	2-34:02			
77	2045	Alfredo Arévalo	GUA	2-34:02			
78	1426	António Carlos Piña	CPV	2-36:22			
79	2373	Valery Pisarev	KGZ	2-40:10			
80	2436	Zepherinus Joseph	LCA	2-44:19			
81	3065	Marcel Matanin	SVK	2-50:26
