Pos	Nr	Athlete	NOC	Time			
1	2282	Mizuki Noguchi	JPN	2-26:20	Gold		
2	2354	Catherine Ndereba	KEN	2-26:32	Silver		
3	3294	Deena Kastor	USA	2-27:20	Bronze		
4	1656	Elfenesh Alemu	ETH	2-28:15			
5	2299	Reiko Tosa	JPN	2-28:44			
6	2983	Olivera Jevtić	SCG	2-31:15			
7	2285	Naoko Sakamoto	JPN	2-31:43			
8	2924	Lyudmila Petrova	RUS	2-31:56			
9	2964	Svetlana Zakharova	RUS	2-32:04			
10	2179	Bruna Genovese	ITA	2-32:50			
11	2335	Alice Chelangat	KEN	2-33:52			
12	1383	Zhang Shujing	CHN	2-34:34			
13	2791	Nuța Olaru	ROU	2-34:45			
14	2443	Živilė Balčiünaité	LTU	2-35:01			
15	1767	Corinne Raux	FRA	2-35:54			
16	2171	Rosaria Console	ITA	2-35:56			
17	2700	Małgorzata Sobańska	POL	2-36:43			
18	1946	Luminita Zaituc	GER	2-36:45			
19	2385	Lee Eun-Jeong	KOR	2-37:23			
20	2802	Constantina Tomescu	ROU	2-37:31			
21	2759	Jong Yong-Ok	PRK	2-37:52			
22	1354	Li Helan	CHN	2-37:53			
23	2378	Jeong Yun-Hui	KOR	2-38:57			
24	2620	Stine Larsen	NOR	2-39:55			
25	1846	Liz Yelling	GBR	2-40:13			
26	1558	María Abel	ESP	2-40:13			
27	2480	Hafida Izem	MAR	2-40:46			
28	1508	Anna Pichrtová	CZE	2-40:58			
29	1822	Tracey Morris	GBR	2-41:00			
30	2486	Kenza Wahbi	MAR	2-41:36			
31	1075	Kerryn McCann	AUS	2-41:41			
32	1625	Beatriz Ros	ESP	2-41:51			
33	1388	Zhou Chunxiu	CHN	2-42:54			
34	3328	Jen Rhines	USA	2-43:52			
35	2377	Choi Gyeong-Hui	KOR	2-44:05			
36	1547	Sandra Ruales	ECU	2-44:28			
37	1615	María Dolores Pulido	ESP	2-44:33			
38	2532	Margarita Tapia	MEX	2-46:14			
39	3250	Colleen de Reuck	USA	2-46:30			
40	2884	Albina Ivanova	RUS	2-47:23			
41	2703	Grażyna Syrek	POL	2-47:26			
42	2147	Nili Avramski	ISR	2-48:08			
43	2456	Clarisse Rasoarizay	MAD	2-48:14			
44	1647	Jane Salumäe	EST	2-48:47			
45	2088	Simona Staicu	HUN	2-48:57			
46	2526	Angélica Sánchez	MEX	2-49:04			
47	2744	Helena Sampaio	POR	2-49:18			
48	2087	Beáta Rakonczai	HUN	2-49:41			
49	1529	Annemette Jensen	DEN	2-50:01			
50	1966	Georgia Abatzidou	GRE	2-50:01			
51	2637	Liza Hunter-Galvan	NZL	2-50:23			
52	1740	Hafida Gadi-Richard	FRA	2-50:29			
53	3103	Gulsara Dodoboeva	TJK	2-50:45			
54	2979	Épiphanie Nyirabaramé	RWA	2-52:50			
55	1043	Sandra Torres	ARG	2-54:48			
56	2757	Jo Bun-Hui	PRK	2-55:54			
57	3111	Hsu Yu-Fang	TPE	2-55:58			
58	1336	Érika Olivera	CHI	2-57:14			
59	1457	Mariela González	CUB	3-02:20			
60	2076	Ida Kovács	HUN	3-03:21			
61	2505	Svetlana Şepelev-Tcaci	MDA	3-03:29			
62	2726	Ana Dias	POR	3-08:11			
63	2445	Inga Juodeškienė	LTU	3-09:18			
64	2437	Mamokete Lechela	LES	3-11:56			
65	3107	Aguida Fatima Amaral	TLS	3-18:25			
66	2539	Luvsanlkhündeviin Otgonbayar	MGL	3-48:42	
