Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Tim Mack	USA	5.95	2	4	OR		
2	Toby Stevenson	USA	5.90	0	1			
3	Giuseppe Gibilisco	ITA	5.85	0	1			
4	Igor Pavlov	RUS	5.80	1	2			
5	Danny Ecker	GER	5.75	0	2			
6	Lars Börgeling	GER	5.75	2	2			
7	Derek Miles	USA	5.75	2	3			
8	Alex Averbukh	ISR	5.65	0	0			
=9	Rens Blom	NED	5.65	0	1			
=9	Denys Yurchenko	UKR	5.65	0	1			
=11	Tim Lobinger	GER	5.55	0	0			
=11	Paul Burgess	AUS	5.55	0	0			
=13	Pavel Gerasimov	RUS	5.55	1	1			
=13	Ruslan Yeremenko	UKR	5.55	1	1			
=13	Daichi Sawano	JPN	5.55	1	1			
16	Oleksandr Korchmid	UKR	5.55	2	2
