Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1758	Renaud Lavillenie	FRA	5.65 (=1)	5.97 (1)	Gold		
2	1917	Björn Otto	GER	5.50 (=8)	5.91 (2)	Silver		
3	1904	Raphael Holzdeppe	GER	5.65 (=1)	5.91 (3)	Bronze		
=4	1817	Steve Lewis	GBR	5.50 (=8)	5.75 (=4)			
=4	2817	Yevgeny Lukyanenko	RUS	5.60 (=4)	5.75 (=4)			
6	1980	Kostas Filippidis	GRE	5.60 (3)	5.65 (6)			
7	1518	Jan Kudlička	CZE	5.50 (=8)	5.65 (7)			
=8	1763	Romain Mesnil	FRA	5.60 (6)	5.50 (=8)			
=8	1915	Malte Mohr	GER	5.50 (=8)	5.50 (=8)			
10	2663	Łukasz Michalski	POL	5.60 (7)	5.50 (10)			
11	1611	Igor Bychkov	ESP	5.50 (=8)	5.50 (11)
