Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Yelena Isinbayeva	RUS	4.91	0	2	OR		
2	Svetlana Feofanova	RUS	4.75	1	1	OR		
3	Anna Rogowska	POL	4.70	0	2	OR		
4	Monika Pyrek	POL	4.55	0	0			
5	Þórey Edda Elísdóttir	ISL	4.55	1	3			
=6	Anzhela Balakhonova	UKR	4.40	0	0			
=6	Naroa Agirre	ESP	4.40	0	0			
=6	Dana Ellis	CAN	4.40	0	0			
=6	Vanessa Boslak	FRA	4.40	0	0			
10	Stephanie McCann	CAN	4.40	0	1			
11	Pavla Hamáčková	CZE	4.40	2	2			
12	Kateřina Baďurová	CZE	4.20	1	1			
=13	Alejandra García	ARG	4.20	2	2			
=13	Silke Spiegelburg	GER	4.20	2	2
