Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3318	Jenn Suhr	USA	4.55 (=1)	4.75 (1)	Gold		
2	1505	Yarisley Silva	CUB	4.55 (=1)	4.75 (2)	Silver		
3	2863	Yelena Isinbayeva	RUS	4.55 (=1)	4.70 (3)	Bronze		
4	1967	Silke Spiegelburg	GER	4.55 (6)	4.65 (4)			
5	1969	Martina Strutz	GER	4.55 (=7)	4.55 (5)			
=6	1848	Holly Bleasdale	GBR	4.55 (=7)	4.45 (=6)			
=6	1539	Jiřina Ptáčníková	CZE	4.55 (12)	4.45 (=6)			
=6	1962	Lisa Ryzih	GER	4.55 (4)	4.45 (=6)			
9	3296	Becky Holliday	USA	4.55 (10)	4.45 (9)			
10	1773	Vanessa Boslak	FRA	4.55 (=7)	4.30 (10)			
11	1069	Alana Boyd	AUS	4.55 (11)	4.30 (11)
