Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2599	Tomasz Majewski	POL	21.04 (1)	21.51 (1)	Gold		
2	3146	Christian Cantwell	USA	20.48 (3)	21.09 (2)	Silver		
3	1307	Dylan Armstrong	CAN	20.43 (4)	21.04 (3)	Bronze		
4	3061	Yuriy Bilonoh	UKR	20.16 (7)	20.63 (4)			
5	3284	Reese Hoffa	USA	20.41 (5)	20.53 (5)			
6	2792	Pavel Sofyin	RUS	20.29 (6)	20.42 (6)			
7	2500	Rutger Smith	NED	20.13 (8)	20.41 (7)			
8	1153	Yury Belov	BLR	20.12 (9)	20.06 (8)
AC	1150	Andrey Mikhnevich	BLR	20.48 (AC)	21.05 (AC)		DQ	1
AC	2793	Ivan Yushkov	RUS	20.02 (AC)	19.67 (AC)		DQ	2
AC	1155	Pavel Lyzhin	BLR	20.36 (AC)	20.98 (AC)		DQ	3
