Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2659	Tomasz Majewski	POL	21.03 (3)	21.89 (1)	Gold		
2	1924	David Storl	GER	21.15 (2)	21.86 (2)	Silver		
3	3221	Reese Hoffa	USA	21.36 (1)	21.23 (3)	Bronze		
4	3209	Christian Cantwell	USA	20.41 (9)	21.19 (4)			
5	1280	Dylan Armstrong	CAN	20.49 (7)	20.93 (5)			
6	1023	Germán Lauro	ARG	20.75 (5)	20.84 (6)			
7	2951	Asmir Kolašinac	SRB	20.44 (8)	20.71 (7)			
8	1163	Pavel Lyzhin	BLR	20.57 (6)	20.69 (8)			
9	3262	Ryan Whiting	USA	20.78 (4)	20.64 (9)			
10	2187	Dorian Scott	JAM	20.31 (11)	20.61 (10)			
11	2831	Maksim Sidorov	RUS	20.40 (10)	20.41 (11)			
12	3031	Chang Ming-Huang	TPE	20.25 (12)	19.99 (12)
AC	1165	Andrey Mikhnevich	BLR	19.89 (AC)	–		DQ	1
