Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1448	Yumileidi Cumbá	CUB	19.10 (2)	19.59 (1)	Gold		
2	1901	Nadine Kleinert	GER	18.65 (5)	19.55 (2)	Silver		
3	1189	Nadezhda Ostapchuk	BLR	19.69 (1)	19.01 (3)			
4	1178	Nataliya Khoronenko	BLR	18.52 (7)	18.96 (4)			
5	2712	Krystyna Zabawska	POL	18.61 (6)	18.64 (5)			
6	1458	Misleydis González	CUB	18.33 (9)	18.59 (6)			
7	2629	Valerie Adams	NZL	18.79 (4)	18.56 (7)			
8	1355	Li Meiju	CHN	18.16 (10)	18.37 (8)			
9	3118	Cleopatra Borel	TTO	18.90 (3)	18.35 (9)			
10	2578	Lieja Tunks-Koeman	NED	18.38 (8)	18.14 (10)
AC r1/2	3385	Olga Shchukina	UZB	14.44 (AC)	–		DQ	
AC	2896	Irina Korzhanenko	RUS	19.43 (AC)	21.06 (AC)		DQ	
AC	2901	Svetlana Krivelyova	RUS	18.57 (AC)	19.49 (AC)		DQ
