Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1329	Michelle Carter	USA	19.01 (3)	20.63 (1)	Gold		
2	1074	Valerie Adams	NZL	19.74 (1)	20.42 (2)	Silver		
3	818	Anita Márton	HUN	18.51 (6)	19.87 (3)	Bronze		
4	516	Gong Lijiao	CHN	18.74 (5)	19.39 (4)			
5	1371	Raven Saunders	USA	18.83 (4)	19.35 (5)			
6	779	Christina Schwanitz	GER	19.18 (2)	19.03 (6)			
7	1248	Cleopatra Borel	TTO	18.20 (8)	18.37 (7)			
8	389	Alyona Dubitskaya	BLR	17.76 (12)	18.23 (8)			
9	411	Geisa Arcanjo	BRA	18.27 (7)	18.16 (9)			
10	506	Natalia Ducó	CHI	18.18 (9)	18.07 (10)			
11	385	Yelena Abramchuk	BLR	17.78 (11)	17.37 (11)			
12	541	Auriol Dongmo Mekemnang	CMR	17.92 (10)	16.99 (12)
