Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2667	Nelson Évora	POR	17.34 (2)	17.67 (1)	Gold		
2	1809	Phillips Idowu	GBR	17.44 (1)	17.62 (2)	Silver		
3	1097	Leevan Sands	BAH	17.25 (5)	17.59 (3)	Bronze		
4	1494	Arnie Giralt	CUB	17.30 (4)	17.52 (4)			
5	2709	Marian Oprea	ROU	17.17 (8)	17.22 (5)			
6	1229	Jadel Gregório	BRA	17.15 (9)	17.20 (6)			
7	1851	Larry Achike	GBR	17.18 (7)	17.17 (7)			
8	3108	Viktor Kuznietsov	UKR	17.11 (12)	16.87 (8)			
9	2837	Igor Spasovkhodsky	RUS	17.23 (6)	16.79 (9)			
10	1339	Li Yanxi	CHN	17.30 (3)	16.77 (10)			
11	1271	Momchil Karailiev	BUL	17.12 (11)	16.48 (11)			
12	1451	Héctor Fuentes	CUB	17.14 (10)	16.28 (12)
