Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1408	Françoise Mbango	CMR	14.50 (4)	15.39 (1)	Gold		
2	2236	Olga Rypakova	KAZ	14.64 (3)	15.11 (2)	Silver		
3	1471	Yargelis Savigne	CUB	14.99 (1)	15.05 (3)	Bronze		
4	2885	Marija Šestak	SLO	14.44 (7)	15.03 (4)			
5	2808	Viktoriya Gurova	RUS	14.78 (2)	14.77 (5)			
6	2758	Anna Pyatykh	RUS	14.45 (6)	14.73 (6)			
7	3070	Olha Saladukha	UKR	14.46 (5)	14.70 (7)			
8	1641	Kaire Leibak	EST	14.19 (9)	14.13 (8)			
9	2172	Trecia Smith	JAM	14.18 (10)	14.12 (9)			
10	1335	Xie Limei	CHN	14.27 (8)	14.09 (10)
AC	2762	Tatyana Lebedeva	RUS	14.55 (AC)	15.32 (AC)		DQ
AC	1932	Pigi Devetzi	GRE	14.92 (AC)	15.23 (AC)		DQ
