Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2287	Olga Rypakova	KAZ	14.79 (1)	14.98 (1)	Gold		
2	143	Caterine Ibargüén	COL	14.42 (4)	14.80 (2)	Silver		
3	3186	Olha Saladukha	UKR	14.35 (5)	14.79 (3)	Bronze		
4	3167	Hanna Kniazieva	UKR	14.33 (6)	14.56 (4)			
5	1847	Yamilé Aldama	GBR	14.45 (3)	14.48 (5)			
6	2210	Kimmie Williams	JAM	14.53 (2)	14.48 (6)			
7	2205	Trecia Smith	JAM	14.31 (7)	14.35 (7)			
9	1504	Yargelis Savigne	CUB	14.28 (9)	14.12 (8)			
10	287	Tatyana Lebedeva	RUS	14.30 (8)	14.11 (9)			
11	2937	Marija Šestak	SLO	14.16 (11)	13.98 (10)			
12	2996	Dana Velďáková	SVK	14.22 (10)	11.92 (11)
AC	2900	Viktoriya Valyukevich	RUS	14.19 (AC)	14.24 (AC)		DQ
